# BCH+SPC, n=256, t=2
# Chase p4
# Full 

# SNR     inBER       BER      inFER        FER      Frames    Be.in    B.ers    Fe.in    F.ers    Fails
# 7.60  8.177e-03  2.914e-03  8.778e-01  1.072e-01    10000    20932     7460     8778     1072        4
# 7.80  7.077e-03  1.915e-03  8.312e-01  7.190e-02    10000    18117     4903     8312      719        2
# 8.00  6.034e-03  1.110e-03  7.895e-01  4.210e-02    10000    15447     2841     7895      421        3
# 8.20  5.042e-03  5.633e-04  7.274e-01  2.170e-02    10000    12908     1442     7274      217        0
# 8.40  4.244e-03  2.977e-04  6.604e-01  1.120e-02    10000    10864      762     6604      112        0
# 8.60  3.557e-03  1.211e-04  5.973e-01  4.800e-03    10000     9105      310     5973       48        0
# 8.80  2.939e-03  7.734e-05  5.285e-01  3.000e-03    10000     7524      198     5285       30        0
# 9.00  2.368e-03  2.811e-05  4.542e-01  1.107e-03    14453     8763      104     6565       16        0
# 9.20  1.951e-03  1.001e-05  3.929e-01  4.188e-04    40597    20274      104    15952       17        0
# 9.40  1.580e-03  4.841e-06  3.321e-01  2.026e-04    83910    33944      104    27864       17        0
# 9.60  1.258e-03  1.120e-06  2.752e-01  4.300e-05   348842   112331      100    95994       15        0
# 9.80  9.973e-04  4.538e-07  2.252e-01  1.822e-05   878090   224184      102   197713       16        0
#10.00  7.814e-04  1.439e-07  1.813e-01  5.669e-06  2822554   564593      104   511725       16        0


SNR     inBER       BER      inFER        FER      Frames    Be.in    B.ers    Fe.in    F.ers    Fails
7.60  8.212e-03  3.055e-03  8.787e-01  1.124e-01   100000   210221    78197    87867    11239       33
7.80  7.050e-03  1.872e-03  8.353e-01  6.964e-02   100000   180471    47935    83526     6964       16
8.00  5.979e-03  1.041e-03  7.842e-01  3.936e-02   100000   153072    26649    78421     3936        5
8.20  5.074e-03  5.655e-04  7.282e-01  2.158e-02   100000   129891    14478    72825     2158        4
8.40  4.249e-03  3.095e-04  6.621e-01  1.188e-02   100000   108765     7922    66205     1188        1
8.60  3.559e-03  1.416e-04  5.981e-01  5.480e-03   100000    91113     3624    59813      548        0
8.80  2.936e-03  5.676e-05  5.294e-01  2.220e-03   100000    75153     1453    52942      222        1
9.00  2.395e-03  2.888e-05  4.570e-01  1.131e-03   135278    82949     1000    61822      153        0
9.20  1.964e-03  9.868e-06  3.949e-01  3.916e-04   395858   199019     1000   156321      155        0
9.40  1.578e-03  3.579e-06  3.326e-01  1.429e-04  1091568   441016     1000   363023      156        0
9.60  1.264e-03  1.167e-06  2.765e-01  4.703e-05  3359266  1086583     1004   928891      158        0
9.80  9.989e-04  4.043e-07  2.257e-01  1.636e-05  9660578  2470504     1000  2180638      158        0
