# BCH+SPC, n=256, t=2
# Chase p5
# Full list

 SNR     inBER       BER      inFER        FER      Frames    Be.in    B.ers    Fe.in    F.ers    Fails
 7.60  8.177e-03  2.784e-03  8.778e-01  9.800e-02    10000    20932     7128     8778      980        0
 7.80  7.077e-03  1.808e-03  8.312e-01  6.520e-02    10000    18117     4628     8312      652        0
 8.00  6.034e-03  1.067e-03  7.895e-01  3.840e-02    10000    15447     2732     7895      384        0
 8.20  5.042e-03  5.211e-04  7.274e-01  1.890e-02    10000    12908     1334     7274      189        0
 8.40  4.244e-03  2.719e-04  6.604e-01  1.020e-02    10000    10864      696     6604      102        0
 8.60  3.557e-03  8.828e-05  5.973e-01  3.400e-03    10000     9105      226     5973       34        0
 8.80  2.939e-03  6.641e-05  5.285e-01  2.400e-03    10000     7524      170     5285       24        0
 9.00  2.392e-03  1.787e-05  4.577e-01  6.599e-04    22730    13918      104    10404       15        0
 9.20  1.953e-03  9.618e-06  3.930e-01  3.447e-04    40615    20310      100    15961       14        0
 9.40  1.576e-03  3.330e-06  3.312e-01  1.126e-04   124342    50154      106    41177       14        0
 9.60  1.261e-03  8.797e-07  2.763e-01  3.378e-05   444029   143328      100   122703       15        0
 9.80  9.962e-04  2.311e-07  2.249e-01  8.929e-06  1791857   456969      106   403021       16        0
10.00  7.829e-04  6.848e-08  1.816e-01  2.528e-06  5932707  1189000      104  1077440       15        0
